,Titulo,Ingredientes,Elaboracion
92,tlatloyos tlaxcaltecas de haba,"['(25 porciones)', '2 kilogramos de masa de maiz ', '3 tazas de habas secas', '2 chiles anchos', '3 chilpoctlis mecos', '8 hojas de aguacate ', '1 cucharadita de tequexquite ', 'manteca, la necesaria ', 'sal al gusto']",": los chiles anchos se desvenan y se tuestan ligeramente en un co- mal de barro. los chilpoctlis se hierven en una cazuela chica con  agua hasta que se ablanden. en una olla con agua y el tequexquite  disuelto en agua y asentado, se ponen a hervir las habas secas con  todo y cascara, a fuego medio. cuando las habas se abren es que  estan cocidas. se sacan del fuego, se escurren y se dejan enfriar  un poco. luego se muelen en el metate o en un molino junto con  los chiles, las hojas de aguacate y la sal al gusto. despues se frien  en una cazuela con suficiente manteca, sin dejar de moverse con  una cuchara de palo. aparte, la masa para tortillas se amasa en  un metate con un poquito de agua. luego se empiezan a hacer las  tortillas con las manos y se les va poniendo en medio un poco del  haba molida, se doblan y, con los dedos, se les va dando una forma  ovalada. se cuecen en el comal a fuego medio, con lena, de prefe- rencia. se voltean de un lado y otro. nota: las habas, ayocotes y arvejones son muy duros, es prefe- rible dejarlos remojar toda una noche y al otro dia cocerlos. 53"
93,tlatloyos de ayocotes,"['(40 porciones)', '3 kilogramos de masa de maiz', '1 kilogramo de ayocote amarillo', '1 cucharadita de tequexquite asentado', '10 hojas de aguacate', '6 cucharadas de manteca o aceite', 'sal al gusto']",": se limpian los ayocotes. se lavan y se ponen a hervir en una olla  con dos litros de agua. el tequexquite se pone en un jarrito o taza  con agua. se revuelve muy bien, se deja asentar y se le agrega a la  olla de los ayocotes, junto con un chorrito de aceite o dos cucha- radas de manteca y un poco de sal. cuando ya estan bien cocidos  se escurren y en un metate se muelen con las hojas de aguacate  previamente lavadas. ya que esta lista la masa del ayocote se frie  esta masa en una cazuela con un poco de manteca moviendose con  una cuchara de palo. aparte, sobre un metate se prepara la masa  de maiz, se amasa bien y se empiezan a hacer los tlatloyos. se toma  una bola de masa, se palmea con las dos manos hasta formar una  tortilla. luego, con una cuchara sopera, se toma masa de ayocote  y se le pone en medio a la tortilla. se le extiende bien y se dobla  cerrandola ligeramente de las orillas. se cuece sobre un comal de  barro, volteandose dos o tres veces de cada lado para que se cueza  parejito y asi sucesivamente hasta terminar con la masa. 54"
94,tlatloyos de frijol,"[' (20 a 25 porciones)', '3 kilogramos de masa de maiz ', '1 kilogramo de frijol amarillo ', '10 hojas medianas de aguacate ', '10 chiles serranos ', '100 gramos de manteca ', '3 dedos de tequexquite ', 'sal al gusto']",": se limpian bien los frijoles y se ponen a cocer en una olla de barro  con un vaso de agua de tequexquite durante una hora a fuego alto.  ya cocidos, los frijoles se muelen junto con las hojas de aguacate y  los chiles, en el metate o molino. luego se frie esta masa de frijol  en una cazuela con manteca precalentada y se le agrega la sal.  aparte, la masa se revuelve con un poco de agua y se amasa. luego  se pone en el metate una capa de masa de maiz y encima una capa  de masa de frijol. se enrolla en forma de taco. despues se toma un  poco de esta masa en la mano. se palmea hasta formar una gordita  ovalada, media gruesa, y se cuece en un comal a fuego normal. se  voltea de un lado y otro hasta que este bien cocida. 55"
95,carnitas de cerdo,"['(30 porciones)', '5 kilogramos de carne surtida de cerdo ', '8 kilogramos de manteca ', '12 hojas de laurel ', '1 manojo de oregano', 'sopas y caldos', 'jugo de dos naranjas', 'sal al gusto']",": la carne se corta en raciones de regular tamano y se pone a hervir  en un cazo a fuego lento en cuatro litros de agua y ocho kilos de  manteca. se le agregan las hojas de laurel, las ramitas de oregano,  el jugo de las naranjas y la sal necesaria. se mueve constantemen- te con una pala de madera hasta que se consuma el agua y quede  solo la manteca para que en ella se dore bien la carne. se sirven  calientitas acompanadas de salsa verde o roja. el tiempo para ha- cer las carnitas es de tres a cuatro horas. 56"
96,sopa de bolitas de carne y papa,"[' (6 porciones)', ' 1/2   kilogramo de carne de puerco molida', '2 litros de caldo de pollo', '4 papas grandes', '1 huevo', '1 cucharada de mantequilla o nata ', ' 1/2  kilogramo de jitomate ', '6 pimientas', '1 cucharada sopera de harina', '6 cucharadas de manteca', '1 cebolla', '1 rama de perejil', 'sal al gusto']",": las papas se ponen a cocer en una olla con agua durante 40 minu- tos a fuego alto hasta que queden suaves, luego se pelan. en una  cazuela se deshacen para revolverse con la carne cruda, un poco de  sal, la pimienta molida y media cebolla finamente picada. cuando  ya todo esta bien revuelto, se le agrega el huevo, una cucharadita  de mantequilla y se vuelve a mezclar muy bien. despues, con la  mano, se hacen las bolitas pequenas de esta mezcla. se frien en  una sarten con un poco de manteca precalentada. en otro lado, se  muele en la licuadora el jitomate con un pedazo de cebolla. se frie  en una cacerola con un poco de manteca y la harina. se le anade  medio litro de caldo de pollo, el perejil y la sal al gusto. cuando  ya sazono se le agregan las bolitas de carne, el caldo restante y se  dejan a fuego lento hasta que se cueza la carne. 59"
97,sopa de rajas,"['(6 porciones)', '4 elotes tiernitos', '6 chiles de milpa', '1 queso fresco que haga hebras', ' 1/4  de litro de crema fresca', '1 cucharada de maicena', '2 litros de caldo de pollo', '4 jitomates picados', '1 cucharada de cebolla', '2 cucharas de mantequilla ', 'sal ', 'pimienta']",": se calienta la mantequilla y se acitrona la cebolla finamente pica- da. cuando esta acitronada se incorporan las rajas de los chiles en  crudo, los granos de elote, se revuelve y se frie todo y al final se  le anaden la maicena y luego el jitomate. se sazona con la sal y la  pimienta y se le agrega el caldo. se deja hervir hasta que las ver- duras esten cocidas. luego se anade el queso en pedazos para que  se deshaga y, ya casi para sacarse del fuego, se agrega la crema. la  sopa debe quedar aguada. 60"
98,sopa de arvejones con nopalitos,"[' (12 o 15 porciones)', '1 kilogramo de arvejones', ' 1/2   kilogramo de tomates', '2 dientes de ajo', '1 pedazo de cebolla', '1 manojito de cilantro', '3 cucharadas de aceite', '10 nopalitos tiernos', 'sal al gusto']",": se limpian los arvejones y se ponen a remojar toda la noche, al  otro dia se sacan y se escurren. se muele el jitomate en crudo con  el ajo y la cebolla. una vez molido, se cuela y se frie muy bien.  ya que esta frito se vacia en una olla con agua y se le agregan los  arvejones. se deja hervir a fuego regular hasta que se cuezan los  arvejones. por otro lado se cortan los nopalitos en rajitas, se lavan  y se ponen a hervir en una olla con agua y un poco de sal. ya co- cidos se enjuagan, se escurren y se agregan a los arvejones junto  con el cilantro y la sal al gusto. se dejan hervir otros 15 minutos y  listos para servirse. 61"
99,sopa de elote,"['(10 porciones)', '10 elotes tiernitos', '2 manojos de flores de calabaza', ' 1/4  de kilogramo de jitomate', '3 dientes de ajo', ' 1/2  cebolla', '3 litros de caldo de pollo ', 'unas ramitas de epazote ', 'aceite, el necesario', 'sal al gusto']",": los elotes se desgranan, se ponen a hervir en una olla con agua y  un poco de sal. a las flores de calabaza se les quita la cabeza y el  tallo, se parten en rajitas y se lavan. el jitomate se muele con el  ajo y la cebolla y se frien a fuego lento, mas o menos, 20 minutos.  cuando estan bien sazonados, se les agrega el caldo de pollo, los  granos de los elotes cocidos, las flores de calabaza, las ramitas  de epazote y sal al gusto. se deja hervir hasta que todo este bien  cocido. 62"
100,corazones de nopal con habas,"['(12 porciones)', '10 o 12 pencas gruesas de nopal joven, que no pasen de un ano, ', 'para sacarles la parte de en medio, o sea el corazon ', '1 kilogramo de habas secas peladas en crudo ', '1 cebolla grande ', '8 cucharadas de manteca de cerdo ', '1 cabeza de ajo ', 'sal al gusto']",": en una olla con agua se ponen a cocer las habas con media cebo- lla, unos dientes de ajo y una cucharada grande de manteca. cuan- do ya esten bien cocidas se retiran del fuego. por otro lado, en una  cazuela, se frien con manteca los corazones de nopal. se les pone  sal al gusto y se dejan freir hasta que se les corte la baba. ya listos  se vacian a la olla de las habas. aparte, en una sarten se frie, con  manteca, media cebolla partida en rodajas y cuando esta acitrona- da se le incorpora al caldo de habas y se deja sazonar durante 20  minutos. para servir se acompana con unos chiles serranos, fritos  de antemano, con rodajas de cebolla. nota: esta comida se acostumbra en cualquier epoca del ano,  pero sobre todo en viernes de cuaresma. 63"
101,crema de elote,"['(8 porciones)', '8 elotes tiernitos ', ' 1/2  litro de leche ', '2 tazas de caldo de pollo o res ', ' 1/2  barra chica de mantequilla ', '1 paquete de galletas ', 'sal al gusto']",": los elotes se desgranan perfectamente y se muelen en la licuadora.  luego se pone media barra de mantequilla en una cazuela a fuego  medio. cuando esta derretida, se le agregan la leche, el caldo y  los elotes molidos y colados. se mezcla bien con una cuchara de  madera. se le pone sal al gusto y se deja hervir de 20 a 30 minutos  a fuego medio. y esta lista para servirse con las galletas doradas  previamente en una sarten con un poco de aceite. 64"
102,consome de barbacoa de hoyo,"[' (50 porciones)', '2 coles grandes', '2 kilogramos de zanahoria', '3 kilogramos de garbanzo', '1 kilogramo de arroz entero', '1 manojito de oregano', '1 manojito de hojas de laurel', '1 manojito de tomillo', '1 manojito de mejorana', '2 kilogramos de cebolla grande (bola)', ' 1/2  kilogramo de ajos', ' 1/4  de kilogramo de chiles morita', 'sal al gusto']",": en una tina de lamina de 50 centimetros de diametro por 25 cen- timetros de alto, limpia y con suficiente agua para el caldo, se  agregan el arroz y el garbanzo, ya enjuagados, las cebollas enteras  y los ajos, la col cortada en grandes trozos, el chile morita y las  hierbas de olor y la sal al gusto. se revuelve todo y se mete en el  horno, abajo, en el fondo, al mismo tiempo que la carne de borrego  preparada para barbacoa blanca, que se colocara sobre una es- pecie de parrilla encima de la tina, preparada para cocerse, de la  cual el jugo de la carne escurrira a la tina para hacerse el consome.  se saca cuando la carne esta bien cocida. se sirve acompanada de  pedazos de limon. 65"
103,consome de cabeza de borrego,"['(10 porciones)', '1 cabeza de borrego', '2 patas de borrego ', ' 1/4  de kilogramo de chile guajillo', 'ramas de epazote ', 'sal al gusto']",": la cabeza y las patas se limpian, se parten por la mitad y en una  olla se hierven con agua y sal hasta que esten cocidas. el chile  guajillo se lava, se desvena, se muele y se frie en una cazuela con  aceite caliente y sal. se deja sazonar. luego se le va agregando el  caldo, donde hirvio la cabeza, y las ramas de epazote. cuando da  el primer hervor, se le suelta la cabeza y las patas ya cocidas. se  dejan unos 15 minutos mas en el fuego y listo para servirse. 66"
104,caldo de pollo con verduras,"['(25 porciones)', '3 pollos enteros de regular tamano ', '1 kilogramo de zanahorias ', '1 kilogramo de ejotes ', '6 elotes grandes tiernitos ', '5 chayotes o medio kilogramo de calabacitas ', ' 1/2  col ', '1 cabeza de ajo ', '1 cebolla mediana', 'unas ramitas de cilantro', 'unas ramitas de hierbabuena', 'sal al gusto']",": se limpian y se lavan los pollos muy bien y se cortan en porciones.  se pone una olla al fuego con tres litros de agua. por otro lado, se  limpian y lavan las verduras y se cortan en cuatro partes las zana- horias, el chayote y las calabacitas. los ejotes se cortan a la mitad  y los elotes limpios en pedazos chicos. luego todo se pone a hervir  en la olla precalentada, junto con el pollo, los ajos, la cebolla, las  ramas de cilantro, las ramitas de hierbabuena y la sal al gusto. se le  pone fuego lento y se deja hervir hasta que se cueza todo. se sirve  bien caliente acompanado de pedazos de limon. 67"
105,caldo de patas de pollo,"['(10 porciones)', '12 patas de pollo', ' 1/2  kilogramo de jitomate', '4 chilpoctlis', '1 cucharada de manteca', '3 dientes de ajo', '1 cebolla chica', 'sal al gusto']",": las patas se tuestan ligeramente a fuego directo, de manera que se  les pueda quitar el pellejo. se les cortan las unas, se lavan bien, se  parten y se ponen a cocer en una olla a fuego medio con suficiente  agua y un poco de sal. cuando estan cocidas se retiran del fuego.  aparte, se muele el jitomate con los chiles, los ajos y la cebolla.  luego se frie en una cazuela con un poco de manteca. se deja sa- zonar por unos minutos y se le agregan las patas cocidas; el caldo  donde hirvieron se deja en el fuego otros diez minutos y listo para  servirse. 68"
106,caldo de guias de calabaza,"['(8 porciones)', '2 manojos grandes de guias de calabazas tiernas', '6 elotes tiernos ', ' 1/2  kilogramo de habas verdes peladas', '3 dientes de ajo', '100 gramos de manteca', '1 cebolla grande ', 'sal al gusto']",": las guias se limpian bien; se les quitan las hojas mas recias y  luego se ponen a remojar unos 30 minutos en agua para que se les  desprenda la tierra. despues se enjuagan varias veces hasta que  ya no tengan nada. aparte, en una olla grande se hierven con su- ficiente agua y un poquito de carbonato (lo que tomen tres dedos).  por otro lado se ponen a hervir las habas en una ollita con agua y  un poco de sal, se dejan mas tiempo en la lumbre que las guias,  porque son un poco mas duras. ya que estan cocidas las habas, en  una cazuela se ponen cuatro cucharadas de manteca, cuando ya  esta quemada, se frien rebanadas de cebolla y los ajos hasta aci- tronarse. luego se le agrega un poco de agua, los pedazos de elote  o los granos y se deja hervir unos 40 minutos. despues se anaden  las guias con todo y su caldo y las habas. si falta caldo se le agrega  un poco de agua y se deja hervir otros 10 minutos. se sirve bien  caliente acompanado de tortillas y salsa verde o rajas de chile loco  previamente tostado. 69"
107,caldo de pollo con flores de calabaza,"['(10 porciones)', '1 kilogramo de pollo macizo', '2 manojos de flores de calabaza', '3 dientes de ajo', '10 zanahorias de regular tamano ', '1 pedazo de cebolla chica ', 'unas ramas de hierbabuena ', 'sal al gusto']",": se compra el pollo ya destazado, se limpia y se lavan las piezas  muy bien. luego, en una olla con suficiente agua, se pone la carne  a cocer a fuego medio, mas o menos, una hora. las zanahorias se  lavan, se pelan, se pican y se agregan a la olla junto con un pedazo  de cebolla, los ajos y un poco de sal. cuando esten medio cocidas  las zanahorias, se les sueltan las flores bien limpias y las ramas de  hierbabuena, y se dejan en el fuego hasta que la carne este cocida. 70"
108,caldo de hongos xoletes,"['(4 o 6 porciones)', '1 kilogramo de hongos xoletes (de pasto)', '5 tazas de agua o caldo ', '10 dientes de ajo grandes', '2 papas medianas', '1 taza de chicharos pelados', '3 chiles de milpa', '1 cucharada sopera de manteca', '1 cebolla grande', '2 chilpoctlis mecos', '1 rama de epazote ', 'sal al gusto']",": los chicharos se pelan. las papas se lavan y se pican en cuadritos.  aparte, los chiles de milpa se tuestan a fuego directo, se pelan y  se cortan en rajas quitandole las venas. luego, en una cazuela se  pone una cucharada de manteca para freir la cebolla, previamente  picada, a fuego medio. cuando la cebolla esta acitronada se le  ponen las papas crudas y picadas, los chicharos y los chilpoctlis  abiertos a la mitad. se revuelve todo muy bien y se deja sazonar  de 15 a 20 minutos. despues se le agrega el caldo de pollo o agua,  sal al gusto, una rama de epazote y, por ultimo, los hongos, previa- mente lavados con mucho cuidado y hervidos en una olla con agua  y los ajos para saber si no son venenosos. se deja en el fuego otros  15 minutos para que se concentre el sabor y listo para servirse. nota: se sabe que los hongos no son venenosos cuando al hervir  con los ajos, estos no cambian de color, generalmente se ponen  negros cuando lo son. 71"
109,caldo de hongos blancos,"['(8 o 10 porciones)', '2 litros de agua', '2 kilogramos de hongos blancos', '1 cebolla mediana', '1 cabeza de ajo', '1 cucharada sopera de manteca', 'sal al gusto', 'unas ramas de epazote']",": una vez que se tienen los hongos, se limpian, se lavan perfec- tamente, y se ponen a escurrir. en otro lado, se pican la cebolla  y el ajo. se frien en una cazuela con manteca precalentada, casi  a dorarse. se agrega el agua y se echan los hongos para que se  cuezan a fuego normal junto con la sal al gusto y las ramas de  epazote. se dejan hervir durante 15 a 20 minutos cuidando que no  se deshagan. para servirse se acompanan con rajas de chile loco  previamente asados. 72"
110,caldo de habas con nopalitos,"['(20 porciones)', '1 kilogramo de habas secas peladas', '1 cabeza de ajo grande ', '15 nopalitos tiernos medianos', 'medio cuarto de kilogramo de manteca', 'unas ramitas de cilantro', 'unas ramitas de hierbabuena', 'sal al gusto']",": se ponen a cocer las habas en una olla de barro con suficiente  agua junto con la cebolla, los ajos y dos o tres cucharadas de man- teca. ya que las habas esten cocidas se les agregan los nopalitos  previamente cocidos, las ramas de hierbabuena y cilantro, otras  dos cucharadas de manteca y sal al gusto. se dejan hervir con  las habas hasta que estas se deshagan. las habas deben quedar  bien deshechas, como si fuera atole. los nopalitos, para cocerse,  se limpian bien, se lavan y se cortan en largo. se ponen a cocer en  una olla con agua de tequexquite asentado o en una olla o cazo de  cobre por espacio de dos horas. cuando ya estan cocidos se lavan  ligeramente para quitarles la baba y se escurren. 73"
111,caldo de carpas,"['(5 o 6 porciones)', '4 carpas', '3 chayotes', '4 calabazas', '3 papas', '2 dientes de ajo', '1 cebolla regular', '3 jitomates', '3 ramas de cilantro', '2 cucharadas de manteca', 'sal al gusto']",": los chayotes y las papas se lavan, se pelan y se cortan en cuadri- tos. enseguida se ponen a cocer, al igual que las calabacitas, en  agua con sal. una vez que ya estan las verduras cocidas, se pone  una cazuela, con aceite o manteca, a calentar para freir el ajo, la  cebolla en rebanadas, el cilantro y el jitomate picado. cuando ya  se frieron bien se agregan las verduras con el agua en que se cocie- ron. se dejan sazonar agregando sal al gusto. luego se incorporan  las carpas bien lavadas y cortadas en trozos. se dejan a fuego man- so durante 10 minutos. y ya estan listas para servirse. 74"
112,hongos de maguey en caldo,"['(6 porciones)', ' 1/2  kilogramo de hongos de maguey ', ' 1/2  kilogramo de papas ', '2 ramas de epazote', '1 cucharada sopera de manteca', '2 chilpoctlis ', 'sal al gusto']",": se limpian y se lavan perfectamente los hongos. se parten en pe- dazos chicos y se dejan en agua 30 minutos para que suelten toda  la tierra que tengan. las papas se lavan muy bien y, con todo y  cascara, se parten en cuadritos. en una cazuela hondita, se echa  la manteca para freir los hongos, las papas y los chilpoctlis con un  poco de sal. ya que esta bien frito, se agrega suficiente agua para  que se haga el caldo. se deja hervir todo junto hasta que las papas  esten bien cocidas. 75"
113,flores de calabaza en caldo,"['(6 porciones)', '4 manojos de flores de calabaza', ' 1/2  kilogramo de papas', '4 chiles poblanos o de milpa', '2 dientes de ajo', '1 cebolla mediana', '1 cucharada sopera de manteca', '2 litros de agua o caldo de pollo', 'sal al gusto']",": se limpian las flores, se parten a la mitad, se lavan y se ponen a  escurrir. mientras, el ajo y la cebolla se pican muy bien y se frien  hasta que la cebolla este acitronada. luego se agregan el caldo o el  agua, las papas limpias, picadas y crudas, las rajas de chile, al ul- timo las flores de calabaza y sal al gusto. se deja aproximadamente  40 minutos a fuego regular hasta que se cuezan. 76"
114,quintoniles en caldo,"['(8 porciones)', '2 manojos grandes de quintoniles', '1 cebolla mediana', '4 chiles jalapenos', '1 cucharada de manteca', '1 litro de agua', '1 litro de caldo de pollo o res', 'sal al gusto']",": se lavan perfectamente los quintoniles y se escurren. se corta la  cebolla y los chiles. mientras, en una cazuela con un poco de man- teca, a fuego medio, se acitrona la cebolla con el ajo. cuando esta  acitronada, se le agregan los chiles jalapenos y los quintoniles. se  frie bien todo y se les agrega el agua, sal al gusto y el caldo de po- llo. se mueve de vez en cuando con una cuchara de palo. se deja a  fuego lento hasta que se cuezan, mas o menos diez minutos. nota: para que los quintoniles no se pongan amarillos al co- cerse se les pone una cucharada de tequexquite disuelto en media  taza de agua y asentado. 77"
115,malvas en caldo con flores de calabaza,"['(6 porciones)', '2 manojos de malvas', '3 dedos de tequexquite ', ' 1/2  kilogramo de habas verdes', '2 manojos de flores de calabaza', '1 cebolla chica', '2 dientes de ajo', '1 manojo pequeno de pipitza ', 'sal al gusto']",": una vez que se compraron o se cortaron las malvas, se deshojan  y se lavan, hoja por hoja, con suficiente agua. aparte, se prepara  una olla con agua, y el tequexquite disuelto en una taza de agua  y asentado. al primer hervor, se le agregan las malvas, las habas  verdes tiernas, ya peladas, las flores de calabaza, limpias y lava- das, los ajos, sal al gusto y la pipitza picada. se deja hervir todo a  fuego manso durante 15 o 20 minutos, mas o menos, y listas para  comerse calientitas. nota: para que salgan mas ricas se les puede poner caldo de pollo. 78"
116,"caldo de ""lenguas de pajaro""","['(4 porciones)', '1 manojo grande de lenguas de pajaro', '4 dientes de ajo', '1 cebolla chica', '1 cucharada sopera de manteca', '1 litro de agua o caldo ', 'sal al gusto']",": las verduras se limpian, se lavan muy bien con suficiente agua  y se ponen a cocer en una cazuela con el agua, la manteca, los  ajos, la cebolla partida en dos y sal al gusto. se deja hervir a fuego  medio durante 20 minutos aproximadamente y listo para servirse.  para que salga mas rico, se le pone caldo de pollo o res en vez  de agua. 79"
117,nopalitos navegantes,"['(8 porciones)', '6 nopalitos de tamano regular', '6 huevos', '2 jitomates de tamano regular', '2 cucharadas soperas de aceite', '1 cebolla chica', '4 dientes de ajo', '1 litro de agua', 'chiles morita', 'unas ramitas de cilantro', 'sal al gusto']",": los nopalitos se lavan y se pican en cuadritos. despues se pone  un cazo con agua en la lumbre. cuando el agua esta hirviendo, se  le anaden los ajos, la sal y se le sueltan los nopalitos. cuando ya  estan blanditos se retiran del fuego y se escurren. por otro lado, se  muele el jitomate con la cebolla, dos dientes de ajo y los chiles.  en una cazuela con aceite caliente, se sazona bien el jitomate y se  anaden el litro de agua, las ramitas de cilantro y los nopalitos. se  deja hervir todo junto durante 10 minutos y se le sueltan los hue- vos. se retira del fuego cuando estos se hayan cocido. 80"
118,nopalitos en caldo con habas verdes,"['(6 porciones)', '6  nopalitos ', '1 kilogramo de habas verdes ', '1 rama de epazote ', '1 cebolla ', '1  1/2  litros de caldo', 'sal al gusto']",": cortados en tiritas, los nopalitos se ponen a hervir en una olla con  agua, un poco de sal y tequexquite disuelto y asentado. cuando ya  estan casi cocidos se sacan, se escurren, se cambian de olla y se  ponen a hervir en otra olla con el caldo, media cebolla y la rama  de epazote. aparte, las habas se pelan y se ponen a hervir (estas  deben estar muy tiernitas). cuando ya estan cocidas se agregan a  la olla del caldo, sal al gusto y se deja hervir todo junto otros 10  minutos y listo para comerse. 81"
119,ajolotes en caldo,"['(6 porciones)', '10 ajolotes medianos', '2 litros de agua aproximadamente', '2 ramas de epazote', ' 1/4  de litro de aceite', '4 dientes de ajo', '8 chiles serranos']",": los ajolotes se lavan con mucho cuidado sobre una coladera. por  otro lado se pone, a fuego medio, una olla, de preferencia de ba- rro, con el agua. cuando da el hervor, se le agregan los ajolotes,  las ramas de epazote, los chiles serranos picados, el ajo, un poco  de aceite y sal al gusto. se dejan en el fuego durante 20 minutos  aproximadamente, hasta que se cuezan los ajolotes y listo para  comerse. 82"
120,tiatlapas,"['(15 porciones)', ' 1/2  kilogramo de frijol amarillo ', '5 chilpoctlis ', '5 nopalitos tiernos ', 'unas ramitas de epazote', '1 cucharada de manteca', 'sal al gusto   ', '  ']",": los frijoles se limpian bien. se tuestan sobre un comal a fuego  de brasa para que no se vayan a quemar. se mueven con la mano  o con una cuchara de madera constantemente para que se doren  parejitos. despues se muelen en un metate o licuadora pasandose  varias veces, hasta que queden como una harina fina. luego se  pone una olla a fuego medio con agua. se le agrega la harina del  frijol molido, moviendose constantemente con una cuchara de ma- dera, como si fuera atole, para que no se vaya a pegar o a hacerse  bolas. aparte, los chilpoctlis se hierven, se muelen en la licuadora  y cuando este hirviendo la harina de frijol, se le agregan el chile  molido y colado, los nopalitos, una cucharada de manteca, las ra- mas de epazote y sal al gusto. se deja hervir aproximadamente otra  media hora a fuego medio.  los nopalitos se limpian, se lavan y se cortan en rajas. se po- nen a hervir en una olla con un poco de tequexquite asentado. ya  cocidos, se lavan dos o tres veces, se dejan escurrir y se agregan  a la olla para que se mezclen con las tlatlapas. se comen con una  salsa verde molcajeteada y tortillas calientitas. 83"
121,arroz rojo a la tlaxcalteca,"['(50 porciones)', '2 kilogramos de arroz', ' 1/4  de kilogramo de cebolla', '1 cabeza de ajo', '2 kilogramos de jitomate', '1 kilogramo de chicharos', '1 kilogramo de zanahorias', '5 litros de caldo de pollo', '2 kilogramos de manteca o aceite', '1 kilogramo de mollejas de pollo', 'sal al gusto']",": se remoja el arroz con agua caliente de 10 a 15 minutos. se lava  con agua fria y se escurre. por otro lado, se pone a la lumbre una  cazuela o cacerola con la manteca a que se queme. se incorpora el  arroz y se deja freir hasta que este ligeramente amarillento. apar- te, se hierven las mollejas hasta que esten cocidas. se muele el  jitomate con dos cebollas en trozos y unos dientes de ajo. cuando  el arroz esta listo o sea amarillento, se le agrega el jitomate mo- lido y colado, los chicharos pelados y las zanahorias cortadas en  cuadritos y ligeramente cocidos para que se fria todo junto con el  jitomate. se deja sazonar hasta que seque un poco. por ultimo se  le agrega el caldo de pollo con las mollejas, previamente cortadas  en cuadritos, y la sal al gusto. se tapa y se deja hervir a fuego bajo  hasta que seque bien. 84"
122,arroz verde,"['(10 porciones)', ' 1/2  kilogramo de arroz entero ', '6 chiles poblanos o de milpa ', '5 dientes de ajo ', '1 cebolla chica', 'manteca, la necesaria', 'sal al gusto']",": el arroz se limpia. se deja remojar de 10 a 15 minutos con agua  caliente. se enjuaga dos veces y se deja escurrir. mientras, se pone  una cazuela extendida, con suficiente manteca, a calentar. cuando  el arroz esta seco, se agrega y se deja freir a fuego medio con el ajo  y la cebolla, finamente picados, hasta que agarre color. aparte, los  chiles poblanos se tuestan ligeramente a fuego directo, se pelan  bien, se desvenan y se muelen en la licuadora. cuando el arroz  tiene el color amarillito, se le suelta el chile molido con un poco de  sal. se revuelve bien con el arroz y se deja freir con un poco de sal.  luego se le agrega caldo de pollo o de res, se baja a fuego lento,  se tapa la cazuela y se deja cocer hasta que se consuma el caldo.  nota: para una taza de arroz se requieren tres tazas de caldo. 85"
123,arroz blanco,"['(25 porciones)', '1 kilogramo de arroz entero ', '12 tazas de caldo de pollo o res ', '1 cebolla mediana ', '4 dientes de ajo ', '1 rama de perejil', 'aceite, el necesario', 'sal al gusto']",": se limpia bien el arroz. se pone a remojar en agua caliente por 15  o 20 minutos. luego se escurre bien y se pone a secar al sol. se  frie con el ajo y la cebolla en una cazuela con manteca o aceite,  calentado con anterioridad, a fuego medio moviendose con una cu- chara o palita de vez en vez, pues es muy delicado y para que salga  entero no debe moverse constantemente. cuando agarra un color  doradito, se escurre el aceite y se le agrega el caldo bien caliente,  una rama de perejil y sal al gusto. se tapa, se pone a fuego lento, y  se deja cocer por 30 o 40 minutos; cuando se haya consumido todo  el caldo, ya esta listo para servirse. se puede servir con rodajas de  huevos cocidos. 86"
124,arroz con higaditos de pollo,"['(20 porciones)', '1 kilogramo de arroz entero ', ' 1/4  de kilogramo de manteca ', '12 tazas de caldo de pollo ', '10 o mas higaditos de pollo ', ' 1/2  kilogramo de zanahorias', ' 1/2  kilogramo de jitomate ', ' 1/2  kilogramo de cebolla ', 'unas ramas de perejil', '3 dientes de ajo ', 'aceite o manteca, lo necesario', 'sal al gusto']",": se ponen a hervir los higaditos con la cebolla y un poco de sal, en  una olla, a fuego medio. aparte, se pone en una cazuela manteca a  calentar, mientras el arroz se lava varias veces con agua tibia y se  escurre muy bien y se deja secar. luego las zanahorias, limpias y  picadas, se ponen a hervir ligeramente en otra olla. cuando estan  casi cocidas se sacan y se escurren. los jitomates se lavan y se  muelen con un pedazo de cebolla y los ajos. cuando la manteca  ya esta caliente, se le suelta el arroz y se mueve de vez en cuando,  para que no se quiebre. ya que empieza a tener color dorado, se le  agregan el jitomate molido y colado, las zanahorias, los higaditos,  sal al gusto; y se deja secar un poco. despues se le agrega el caldo  de los higados, el caldo de pollo, una rama de perejil, se tapa y se  deja hervir a fuego lento, hasta que seque totalmente. 87"
